customer_id,signup_date,country,age_group,subscription_plan,billing_cycle,monthly_fee,acquisition_channel,device_type,status,churn_date
1,2024-11-23,Canada,25-34,Basic,Annual,9.99,Instagram,Mobile,Active,
2,2024-12-12,Singapore,45-54,Standard,Monthly,12.99,Google Ads,Mobile,Active,
3,2024-02-17,USA,55+,Basic,Monthly,9.99,Instagram,Smart TV,Active,
4,2024-04-22,USA,25-34,Basic,Monthly,9.99,TikTok,Smart TV,Active,
5,2024-06-23,Germany,18-24,Basic,Monthly,9.99,Google Ads,Smart TV,Active,
6,2024-02-19,Australia,18-24,Basic,Monthly,9.99,TikTok,Smart TV,Active,
7,2024-10-01,UAE,35-44,Basic,Annual,9.99,TikTok,Tablet,Churned,2024-11-20 00:00:00
8,2024-10-22,Canada,35-44,Basic,Monthly,9.99,Google Ads,Desktop,Active,
9,2024-02-21,Germany,25-34,Basic,Monthly,9.99,Facebook,Tablet,Active,
10,2024-04-17,India,55+,Standard,Annual,12.99,TikTok,Desktop,Active,
11,2024-09-30,Australia,55+,Standard,Monthly,12.99,Instagram,Tablet,Churned,2025-02-04 00:00:00
12,2024-01-29,Germany,45-54,Basic,Monthly,9.99,Facebook,Mobile,Active,
13,2024-04-18,Germany,25-34,Premium,Monthly,14.99,TikTok,Smart TV,Active,
14,2024-07-21,UK,35-44,Premium,Monthly,14.99,Instagram,Desktop,Active,
15,2024-10-14,France,55+,Standard,Annual,12.99,YouTube,Tablet,Active,
16,2024-04-22,Brazil,18-24,Premium,Monthly,14.99,Google Ads,Mobile,Active,
17,2024-03-19,France,55+,Standard,Annual,12.99,Google Ads,Smart TV,Active,
18,2024-07-14,Australia,55+,Standard,Monthly,12.99,Google Ads,Mobile,Active,
19,2024-12-15,Germany,18-24,Premium,Annual,14.99,Facebook,Smart TV,Active,
20,2024-03-21,Australia,55+,Basic,Annual,9.99,Instagram,Mobile,Active,
21,2024-11-16,Singapore,25-34,Basic,Monthly,9.99,Instagram,Tablet,Active,
22,2024-03-23,UAE,18-24,Standard,Annual,12.99,Referral,Tablet,Active,
23,2024-09-07,Australia,25-34,Basic,Annual,9.99,Google Ads,Desktop,Active,
24,2024-10-17,Brazil,18-24,Premium,Monthly,14.99,Referral,Desktop,Active,
25,2024-03-06,UK,35-44,Standard,Annual,12.99,Referral,Smart TV,Active,
26,2024-04-18,Canada,35-44,Premium,Annual,14.99,YouTube,Tablet,Active,
27,2024-08-12,Canada,25-34,Premium,Monthly,14.99,Google Ads,Tablet,Active,
28,2024-01-11,Canada,18-24,Standard,Monthly,12.99,Google Ads,Mobile,Active,
29,2024-04-27,Germany,18-24,Basic,Monthly,9.99,Referral,Desktop,Active,
30,2024-05-22,Singapore,55+,Standard,Monthly,12.99,YouTube,Desktop,Churned,2024-07-24 00:00:00
31,2024-08-30,India,45-54,Premium,Monthly,14.99,Facebook,Smart TV,Active,
32,2024-07-29,India,18-24,Basic,Annual,9.99,YouTube,Tablet,Active,
33,2024-02-25,UK,45-54,Basic,Monthly,9.99,Instagram,Tablet,Churned,2024-07-18 00:00:00
34,2024-08-24,Brazil,55+,Basic,Annual,9.99,Google Ads,Mobile,Active,
35,2024-11-29,India,25-34,Premium,Annual,14.99,Instagram,Smart TV,Active,
36,2024-09-05,USA,25-34,Basic,Annual,9.99,YouTube,Mobile,Active,
37,2024-07-18,Brazil,35-44,Basic,Annual,9.99,YouTube,Smart TV,Active,
38,2024-03-20,Singapore,55+,Basic,Monthly,9.99,Google Ads,Tablet,Churned,2024-05-03 00:00:00
39,2024-01-30,UAE,25-34,Basic,Monthly,9.99,Google Ads,Mobile,Active,
40,2024-04-05,Canada,45-54,Basic,Monthly,9.99,Google Ads,Desktop,Active,
41,2024-10-23,France,55+,Standard,Monthly,12.99,Referral,Tablet,Active,
42,2024-05-13,Canada,35-44,Basic,Annual,9.99,YouTube,Desktop,Active,
43,2024-12-09,USA,45-54,Standard,Monthly,12.99,Referral,Mobile,Churned,2025-01-26 00:00:00
44,2024-02-07,UK,35-44,Standard,Monthly,12.99,Google Ads,Desktop,Active,
45,2024-07-08,UAE,35-44,Basic,Monthly,9.99,Referral,Mobile,Active,
46,2024-12-07,India,25-34,Premium,Monthly,14.99,Facebook,Mobile,Active,
47,2024-02-24,Australia,55+,Standard,Monthly,12.99,Instagram,Tablet,Active,
48,2024-04-14,UAE,45-54,Standard,Annual,12.99,Facebook,Mobile,Active,
49,2024-02-17,USA,18-24,Standard,Annual,12.99,Facebook,Desktop,Active,
50,2024-11-22,Brazil,55+,Premium,Monthly,14.99,TikTok,Smart TV,Active,
51,2024-10-14,UK,55+,Basic,Monthly,9.99,Google Ads,Tablet,Active,
52,2024-10-25,USA,35-44,Standard,Monthly,12.99,Facebook,Mobile,Active,
53,2024-07-02,India,35-44,Basic,Monthly,9.99,Referral,Smart TV,Active,
54,2024-11-13,Canada,25-34,Standard,Annual,12.99,Instagram,Smart TV,Active,
55,2024-01-13,France,25-34,Basic,Annual,9.99,Facebook,Desktop,Active,
56,2024-12-25,Brazil,25-34,Basic,Annual,9.99,Instagram,Smart TV,Active,
57,2024-06-28,Canada,25-34,Basic,Annual,9.99,Google Ads,Desktop,Active,
58,2024-07-23,Australia,35-44,Basic,Annual,9.99,TikTok,Smart TV,Active,
59,2024-12-13,India,35-44,Premium,Monthly,14.99,Instagram,Tablet,Churned,2025-01-19 00:00:00
60,2024-01-20,Germany,45-54,Basic,Monthly,9.99,Referral,Mobile,Active,
61,2024-07-16,USA,45-54,Premium,Monthly,14.99,Google Ads,Desktop,Active,
62,2024-07-05,Germany,55+,Basic,Annual,9.99,Facebook,Mobile,Active,
63,2024-06-02,Germany,45-54,Standard,Monthly,12.99,TikTok,Tablet,Active,
64,2024-10-10,France,25-34,Basic,Monthly,9.99,Referral,Tablet,Active,
65,2024-07-26,Australia,25-34,Standard,Monthly,12.99,YouTube,Tablet,Active,
66,2024-08-26,UAE,45-54,Basic,Monthly,9.99,TikTok,Desktop,Active,
67,2024-12-03,Singapore,35-44,Basic,Monthly,9.99,Google Ads,Desktop,Active,
68,2024-12-10,UK,18-24,Basic,Annual,9.99,Google Ads,Desktop,Active,
69,2024-08-31,Brazil,45-54,Standard,Annual,12.99,TikTok,Desktop,Active,
70,2024-12-22,UK,18-24,Basic,Monthly,9.99,Google Ads,Smart TV,Active,
71,2024-04-22,UAE,45-54,Basic,Annual,9.99,Google Ads,Desktop,Active,
72,2024-03-03,UAE,55+,Basic,Annual,9.99,Referral,Tablet,Active,
73,2024-08-14,France,55+,Standard,Annual,12.99,YouTube,Desktop,Churned,2025-01-20 00:00:00
74,2024-08-31,Australia,55+,Basic,Annual,9.99,YouTube,Desktop,Active,
75,2024-05-20,Canada,35-44,Basic,Annual,9.99,Facebook,Tablet,Active,
76,2024-10-03,France,25-34,Basic,Monthly,9.99,TikTok,Desktop,Active,
77,2024-02-02,Brazil,45-54,Basic,Monthly,9.99,Google Ads,Desktop,Active,
78,2024-08-03,USA,55+,Basic,Annual,9.99,YouTube,Smart TV,Active,
79,2024-01-04,France,45-54,Premium,Monthly,14.99,Referral,Desktop,Active,
80,2024-09-06,USA,45-54,Basic,Monthly,9.99,Facebook,Smart TV,Active,
81,2024-03-25,Singapore,55+,Premium,Annual,14.99,Google Ads,Smart TV,Active,
82,2024-10-30,France,25-34,Standard,Monthly,12.99,YouTube,Desktop,Active,
83,2024-01-26,Brazil,35-44,Basic,Monthly,9.99,Facebook,Smart TV,Active,
84,2024-05-22,Australia,18-24,Standard,Annual,12.99,YouTube,Mobile,Active,
85,2024-10-03,Canada,18-24,Basic,Annual,9.99,TikTok,Mobile,Active,
86,2024-01-16,USA,55+,Premium,Monthly,14.99,Instagram,Desktop,Active,
87,2024-03-05,Canada,45-54,Basic,Monthly,9.99,TikTok,Tablet,Active,
88,2024-07-07,India,25-34,Basic,Monthly,9.99,Facebook,Mobile,Active,
89,2024-10-23,France,45-54,Basic,Monthly,9.99,TikTok,Desktop,Active,
90,2024-02-08,Canada,18-24,Standard,Annual,12.99,TikTok,Tablet,Active,
91,2024-12-16,Singapore,18-24,Standard,Monthly,12.99,Facebook,Smart TV,Active,
92,2024-12-04,Germany,18-24,Basic,Monthly,9.99,YouTube,Smart TV,Active,
93,2024-02-24,Brazil,25-34,Basic,Monthly,9.99,YouTube,Desktop,Active,
94,2024-09-24,UAE,45-54,Premium,Monthly,14.99,YouTube,Smart TV,Active,
95,2024-10-30,India,35-44,Basic,Annual,9.99,YouTube,Desktop,Active,
96,2024-08-25,Germany,18-24,Standard,Monthly,12.99,YouTube,Tablet,Active,
97,2024-04-03,Australia,35-44,Basic,Monthly,9.99,Facebook,Tablet,Active,
98,2024-10-11,India,25-34,Basic,Annual,9.99,TikTok,Smart TV,Active,
99,2024-09-07,Brazil,45-54,Standard,Monthly,12.99,Google Ads,Mobile,Churned,2025-02-05 00:00:00
100,2024-05-30,Singapore,35-44,Basic,Monthly,9.99,YouTube,Tablet,Churned,2024-09-15 00:00:00
101,2024-08-05,Brazil,35-44,Premium,Monthly,14.99,Facebook,Tablet,Churned,2024-12-03 00:00:00
