customer_id,month,logins,watch_time_hours,feature_usage_score,support_tickets
1,2024-01,14,53,61,1
1,2024-02,11,27,80,1
1,2024-03,11,36,68,2
1,2024-04,15,29,62,1
1,2024-05,16,17,99,4
1,2024-06,11,64,97,1
1,2024-07,13,31,81,0
1,2024-08,8,68,54,0
1,2024-09,16,40,28,1
1,2024-10,15,45,100,1
1,2024-11,16,30,15,0
1,2024-12,12,40,100,0
2,2024-01,16,31,68,1
2,2024-02,14,18,100,1
2,2024-03,13,36,54,5
2,2024-04,12,1,46,1
2,2024-05,13,29,69,2
2,2024-06,12,57,73,1
2,2024-07,13,31,74,2
2,2024-08,16,36,89,2
2,2024-09,10,56,85,0
2,2024-10,11,37,39,1
2,2024-11,13,35,62,0
2,2024-12,18,40,62,0
3,2024-01,14,41,87,1
3,2024-02,17,43,67,0
3,2024-03,17,52,82,0
3,2024-04,14,53,97,2
3,2024-05,14,23,56,1
3,2024-06,16,51,53,0
3,2024-07,13,24,60,1
3,2024-08,16,23,76,1
3,2024-09,17,40,65,2
3,2024-10,14,47,75,3
3,2024-11,15,39,54,1
3,2024-12,20,58,74,0
4,2024-01,12,51,61,0
4,2024-02,10,62,66,0
4,2024-03,11,47,66,2
4,2024-04,21,54,50,0
4,2024-05,5,45,60,1
4,2024-06,14,43,77,1
4,2024-07,15,16,91,3
4,2024-08,10,25,50,2
4,2024-09,16,22,65,1
4,2024-10,13,46,66,2
4,2024-11,9,48,70,0
4,2024-12,12,53,91,1
5,2024-01,15,34,46,3
5,2024-02,12,68,73,2
5,2024-03,18,22,38,1
5,2024-04,15,53,33,1
5,2024-05,11,72,73,2
5,2024-06,20,42,91,2
5,2024-07,9,35,89,0
5,2024-08,12,31,32,1
5,2024-09,12,21,38,0
5,2024-10,15,25,58,2
5,2024-11,12,62,85,0
5,2024-12,17,49,100,0
6,2024-01,19,58,67,0
6,2024-02,8,17,94,1
6,2024-03,12,19,61,1
6,2024-04,13,50,57,0
6,2024-05,13,40,100,2
6,2024-06,17,34,73,0
6,2024-07,14,51,90,0
6,2024-08,19,33,100,2
6,2024-09,17,63,78,0
6,2024-10,15,42,88,1
6,2024-11,15,16,69,0
6,2024-12,11,27,46,1
7,2024-01,17,48,82,1
7,2024-02,16,2,100,0
7,2024-03,17,31,35,1
7,2024-04,17,70,22,0
7,2024-05,19,30,61,1
7,2024-06,16,45,57,1
7,2024-07,17,37,76,0
7,2024-08,17,56,79,1
7,2024-09,21,34,67,2
7,2024-10,7,39,85,1
7,2024-11,15,43,68,1
7,2024-12,17,53,50,0
8,2024-01,10,32,72,2
8,2024-02,14,47,89,0
8,2024-03,14,47,63,1
8,2024-04,14,41,52,2
8,2024-05,11,30,72,1
8,2024-06,19,14,91,0
8,2024-07,16,57,86,0
8,2024-08,13,27,77,3
8,2024-09,16,54,84,1
8,2024-10,12,38,73,0
8,2024-11,16,48,53,0
8,2024-12,15,34,60,2
9,2024-01,10,33,58,2
9,2024-02,13,39,74,0
9,2024-03,12,46,38,1
9,2024-04,21,43,83,0
9,2024-05,26,45,73,0
9,2024-06,11,26,66,1
9,2024-07,10,56,60,1
9,2024-08,17,51,42,0
9,2024-09,14,43,94,1
9,2024-10,17,51,48,1
9,2024-11,14,11,35,0
9,2024-12,23,48,77,0
10,2024-01,8,50,74,1
10,2024-02,18,18,98,0
10,2024-03,19,65,48,1
10,2024-04,12,21,87,3
10,2024-05,25,35,58,0
10,2024-06,19,30,64,2
10,2024-07,19,25,74,3
10,2024-08,17,23,60,1
10,2024-09,13,42,69,1
10,2024-10,19,54,65,2
10,2024-11,10,29,55,1
10,2024-12,15,55,64,1
11,2024-01,16,40,65,1
11,2024-02,14,31,83,1
11,2024-03,12,58,63,0
11,2024-04,20,1,56,0
11,2024-05,16,42,69,1
11,2024-06,21,34,100,1
11,2024-07,11,37,75,0
